# Axial (center line) profile RAO nozzle / chemical equilibrium / Kerosene conditions
# Columns:
# 1: Axial distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -9.491391640E+01 7.288420892E+00 5.714703649E+02 9.544575599E+06 3.597138348E+03 4.660256190E-01 4.407601993E-01 2.495466665E-01 9.549088962E-03 2.588464928E-01 2.891386937E-02 7.771711351E-03
 -9.069312272E+01 7.239868729E+00 5.887521719E+02 9.471823827E+06 3.594147351E+03 4.803581511E-01 4.406336708E-01 2.497464835E-01 9.547139819E-03 2.589476331E-01 2.880759772E-02 7.730307877E-03
 -8.659526478E+01 7.190507137E+00 6.059987789E+02 9.397482253E+06 3.591092636E+03 4.946846097E-01 4.405041078E-01 2.499510872E-01 9.545136899E-03 2.590512529E-01 2.869890495E-02 7.687818723E-03
 -8.261676192E+01 7.140512444E+00 6.231694287E+02 9.321807659E+06 3.587987805E+03 5.089714734E-01 4.403721601E-01 2.501594525E-01 9.543091665E-03 2.591567928E-01 2.858835882E-02 7.644467859E-03
 -7.875413778E+01 7.090094995E+00 6.402265100E+02 9.245049267E+06 3.584830885E+03 5.231890934E-01 4.402373321E-01 2.503723565E-01 9.540988308E-03 2.592648326E-01 2.847548943E-02 7.600017987E-03
 -7.500401727E+01 7.039320453E+00 6.571434696E+02 9.167530042E+06 3.581692030E+03 5.373095872E-01 4.401044171E-01 2.505822538E-01 9.538936797E-03 2.593707045E-01 2.836460060E-02 7.556363017E-03
 -7.136312356E+01 6.988626213E+00 6.738914060E+02 9.088869687E+06 3.578304765E+03 5.513368478E-01 4.399539920E-01 2.508197088E-01 9.536476545E-03 2.594936418E-01 2.823818350E-02 7.505686317E-03
 -6.782827530E+01 6.935851460E+00 6.905709151E+02 9.010548615E+06 3.575322006E+03 5.652717812E-01 4.398356577E-01 2.510066709E-01 9.534810103E-03 2.595839207E-01 2.814105670E-02 7.468237699E-03
 -6.439638379E+01 6.879775653E+00 7.074495961E+02 8.928889355E+06 3.571593574E+03 5.794381672E-01 4.396708716E-01 2.512667630E-01 9.532138897E-03 2.597177952E-01 2.800288971E-02 7.413022568E-03
 -6.106445028E+01 6.823873121E+00 7.240901689E+02 8.847390305E+06 3.567972120E+03 5.934196360E-01 4.395133473E-01 2.515154226E-01 9.529633350E-03 2.598444795E-01 2.787147653E-02 7.360628304E-03
